normalized_name,file_count,unique_content_hashes,identical_content,average_similarity,recommendation,files
dockerisierung,2,2,False,0.07,KEEP_SEPARATE - Unterschiedliche Inhalte trotz ähnlicher Namen,chatmodes/Dockerisierung_DE.chatmode.md | prompts/Dockerisierung_DE.prompt.md
onboarding,8,5,False,0.0,KEEP_SEPARATE - Unterschiedliche Inhalte trotz ähnlicher Namen,chatmodes/Onboarding_DE.chatmode.md | prompts/Onboarding_DE.prompt.md | prompts/chatmodes/onboarding.yaml | prompts/chatmodes/onboarding_examples.md | prompts/chatmodes/onboarding.yaml.json | prompts/chatmodes/onboarding.yaml | prompts/chatmodes/onboarding_examples.md | prompts/chatmodes/onboarding.yaml.json
marketingcontent,2,2,False,0.08,KEEP_SEPARATE - Unterschiedliche Inhalte trotz ähnlicher Namen,chatmodes/MarketingContent_DE.chatmode.md | prompts/MarketingContent_DE.prompt.md
codereview,2,2,False,0.06,KEEP_SEPARATE - Unterschiedliche Inhalte trotz ähnlicher Namen,chatmodes/CodeReview_DE.chatmode.md | prompts/CodeReview_DE.prompt.md
readme,3,3,False,0.0,KEEP_SEPARATE - Unterschiedliche Inhalte trotz ähnlicher Namen,chatmodes/README_DE.chatmode.md | prompts/README.md | prompts/README_DE.prompt.md
architekturplan,2,2,False,0.08,KEEP_SEPARATE - Unterschiedliche Inhalte trotz ähnlicher Namen,chatmodes/Architekturplan_DE.chatmode.md | prompts/Architekturplan_DE.prompt.md
apidesign,2,2,False,0.13,KEEP_SEPARATE - Unterschiedliche Inhalte trotz ähnlicher Namen,chatmodes/APIDesign_DE.chatmode.md | prompts/APIDesign_DE.prompt.md
datenbankschema,2,2,False,0.08,KEEP_SEPARATE - Unterschiedliche Inhalte trotz ähnlicher Namen,chatmodes/DatenbankSchema_DE.chatmode.md | prompts/DatenbankSchema_DE.prompt.md
beitragsrichtlinien,2,2,False,0.03,KEEP_SEPARATE - Unterschiedliche Inhalte trotz ähnlicher Namen,chatmodes/Beitragsrichtlinien_DE.chatmode.md | prompts/Beitragsrichtlinien_DE.prompt.md
barrierefreiheitaudit,2,2,False,0.08,KEEP_SEPARATE - Unterschiedliche Inhalte trotz ähnlicher Namen,chatmodes/BarrierefreiheitAudit_DE.chatmode.md | prompts/BarrierefreiheitAudit_DE.prompt.md
benutzerdokumentation,2,2,False,0.08,KEEP_SEPARATE - Unterschiedliche Inhalte trotz ähnlicher Namen,chatmodes/BenutzerDokumentation_DE.chatmode.md | prompts/BenutzerDokumentation_DE.prompt.md
deploymentguide,2,2,False,0.1,KEEP_SEPARATE - Unterschiedliche Inhalte trotz ähnlicher Namen,chatmodes/DeploymentGuide_DE.chatmode.md | prompts/DeploymentGuide_DE.prompt.md
fehlerberichtvorlage,2,2,False,0.07,KEEP_SEPARATE - Unterschiedliche Inhalte trotz ähnlicher Namen,chatmodes/FehlerberichtVorlage_DE.chatmode.md | prompts/FehlerberichtVorlage_DE.prompt.md
sicherheitsaudit,2,2,False,0.06,KEEP_SEPARATE - Unterschiedliche Inhalte trotz ähnlicher Namen,chatmodes/SicherheitsAudit_DE.chatmode.md | prompts/SicherheitsAudit_DE.prompt.md
