"file";"link";"status"
"CODESPACE-DOCS-INDEX.md";"..dokum/CODESPACE-TROUBLESHOOTING.md";"broken"
"CODESPACE-DOCS-INDEX.md";"..dokum/CODESPACE-TROUBLESHOOTING.md";"broken"
"CODESPACE-STATUS-IMPLEMENTATION-SUMMARY.md";"..dokum/CODESPACE-STATUS-QUICK-REF.md";"broken"
"CODESPACE-STATUS-IMPLEMENTATION-SUMMARY.md";"..dokum/CODESPACE-STATUS-CHECKER.md";"broken"
"CODESPACE-STATUS-IMPLEMENTATION-SUMMARY.md";"..dokum/CODESPACE-STATUS-CHECK-IMPLEMENTATION.md";"broken"
"CODESPACE-STATUS-IMPLEMENTATION-SUMMARY.md";"..dokum/CODESPACE-TROUBLESHOOTING.md";"broken"
"CONTRIBUTING.md";"#code-of-conduct";"broken"
"CONTRIBUTING.md";"#wie-kann-ich-beitragen";"broken"
"CONTRIBUTING.md";"#development-setup";"broken"
"CONTRIBUTING.md";"#branch-strategy";"broken"
"CONTRIBUTING.md";"#commit-convention";"broken"
"CONTRIBUTING.md";"#pull-request-prozess";"broken"
"CONTRIBUTING.md";"#code-review-guidelines";"broken"
"CONTRIBUTING.md";"#testing-requirements";"broken"
"CONTRIBUTING.md";"#documentation-standards";"broken"
"CONTRIBUTING.md";"#quality-gates";"broken"
"CONTRIBUTING.md";"#codeowners";"broken"
"CONTRIBUTING.md";"#support";"broken"
"DOCS_REPORT_FINAL.md";".github/instructions/readme-plus-spec.md";"broken"
"DOCS_REPORT.md";"../figma-design-system/tokens.md";"broken"
"DOCS_REPORT.md";"./INSTALLATION.md";"broken"
"DOCS_REPORT.md";"./app/lib/pii_sanitizer.md";"broken"
"DOCS-INDEX.md";"#-getting-started";"broken"
"DOCS-INDEX.md";"#-architecture";"broken"
"DOCS-INDEX.md";"#-security--compliance";"broken"
"DOCS-INDEX.md";"#-development";"broken"
"DOCS-INDEX.md";"#-operations--deployment";"broken"
"DOCS-INDEX.md";"#-design-system";"broken"
"DOCS-INDEX.md";"#-testing";"broken"
"DOCS-INDEX.md";"#-quality--reports";"broken"
"DOCS-INDEX.md";"#-legal--governance";"broken"
"DOCS-INDEX.md";"#-archive";"broken"
"DOCS-INDEX.md";"../README.md";"broken"
"DOCS-INDEX.md";"QUICKSTART.md";"broken"
"DOCS-INDEX.md";"COPILOT-SETUP-GUIDE.md";"broken"
"DOCS-INDEX.md";"../.devcontainer/README.md";"broken"
"DOCS-INDEX.md";"../TODO.md";"broken"
"DOCS-INDEX.md";"../api.menschlichkeit-oesterreich.at/README.md";"broken"
"DOCS-INDEX.md";"../frontend/README.md";"broken"
